x_error,y_error,z_error,rx_error,ry_error,rz_error
9.531892199551473144e-04,1.355696558369083593e-03,-2.585420589315912121e-02,-8.649638631464920402e-02,5.652934116519614527e-02,-1.267951255317160790e-02
9.754338062169248683e-04,1.358458186933638595e-03,-2.177302645666856495e-02,-8.650153012474688652e-02,5.655526322781539994e-02,-1.267275426266288932e-02
1.008328846153660986e-03,1.297633335168284913e-03,-1.533617800300068890e-02,-8.647559902847293256e-02,5.658511296382819078e-02,-1.266275520952350568e-02
3.078067377024415029e-03,-1.168591203271823059e-03,2.045500651631382283e-02,-2.125754824958392408e-02,4.837589369344912071e-02,-2.338524938333396558e-02
3.095177570788075830e-03,-1.161294286408629667e-03,2.448871762207371905e-02,-2.126459739033293925e-02,4.839412697721965501e-02,-2.338107075763960763e-02
3.145028388562246847e-03,-1.140860011606108920e-03,2.914408494046949460e-02,-2.128159341769071330e-02,4.842456600793108856e-02,-2.337006639143418205e-02
3.116198053143246025e-03,-1.213119056775562032e-03,3.281336671546375428e-02,-2.125970497484990646e-02,4.842295059702255572e-02,-2.335681085252264838e-02
3.115466717810199196e-03,-1.295984252975390660e-03,3.617844371236456080e-02,-2.123039144895633862e-02,4.843416865477090383e-02,-2.334865637891337525e-02
3.068160575158509259e-03,-1.277029101572985104e-03,3.851864186194453588e-02,-2.124170344905331603e-02,4.841847167605998342e-02,-2.335361122003029935e-02
3.221280327972937847e-03,-4.017042924384265495e-03,4.738890571543208363e-02,-4.177111951918457099e-03,7.972566333485130163e-02,-3.703726590410538755e-02
3.145903102141880264e-03,-4.010615159433562199e-03,5.185183621015021505e-02,-4.181889284415485353e-03,7.969231314810447386e-02,-3.703852765414270692e-02
3.168834066197244882e-03,-4.054972954441887073e-03,5.787178160097405932e-02,-4.160674383796853296e-03,7.970025181660143898e-02,-3.703311624617568881e-02
3.040045231849936285e-03,-4.163887012505675111e-03,6.334413024610940912e-02,-4.109951297965339610e-03,7.962919958936022502e-02,-3.701921844332928258e-02
3.011974796484361266e-03,-4.247184898383615098e-03,6.727402934271742296e-02,-4.059600771855820592e-03,7.960944859886848191e-02,-3.702732404735677857e-02
2.848308254145914733e-03,-4.390525091270811378e-03,7.089427933783831737e-02,-3.980529576724679310e-03,7.952214165592316752e-02,-3.701854496080214663e-02
2.730402146241046879e-03,-3.874241967971508993e-03,4.950827922716405372e-02,2.120381747209434693e-03,8.950575164853985521e-02,-2.769711332458194009e-02
2.763005008663630812e-03,-3.933135661091682195e-03,5.015980042332768285e-02,2.156177560761611198e-03,8.953003931135430915e-02,-2.769877796442621332e-02
2.756099145087548882e-03,-4.059976017222726580e-03,5.013952837018520459e-02,2.217470720255642919e-03,8.952916274946268183e-02,-2.769453724915356060e-02
2.631475190010645112e-03,-4.243859869863125106e-03,5.136318896678848667e-02,2.300349998635153013e-03,8.946136061071077727e-02,-2.767404441894557102e-02
2.506117937044319288e-03,-4.430977416444891598e-03,5.187014650503929403e-02,2.386788042698174787e-03,8.939309187876014196e-02,-2.765551896180073327e-02
2.448584937546436063e-03,-4.668426526864647222e-03,5.135666822029838485e-02,2.493310247985184355e-03,8.935343030417189358e-02,-2.762476425537904387e-02
1.945138509998058009e-03,-1.955346690066122467e-03,9.798996517189184630e-03,-5.770952140143997128e-02,6.707726113272290125e-02,-2.438847424172040437e-02
1.939736557235822653e-03,-2.079109788238806683e-03,8.063780812770260376e-03,-5.765148930658645782e-02,6.707306111732319609e-02,-2.437760796938623006e-02
1.974655565229645280e-03,-2.199840431926058937e-03,3.815003987376219818e-03,-5.759263033085457867e-02,6.709600083164200812e-02,-2.437566011158917231e-02
1.839483738175579086e-03,-2.360014709556400303e-03,2.976822422494418419e-03,-5.750769689176073174e-02,6.702091745154070690e-02,-2.438530193368898188e-02
1.736608051657044039e-03,-2.523533730710771084e-03,2.841190539614180111e-03,-5.741817236282128339e-02,6.696391602336744520e-02,-2.439278580285329096e-02
1.745062822534529335e-03,-2.564599659658054615e-03,-2.701262764919221127e-04,-5.739443825586532100e-02,6.696723410450287906e-02,-2.439262194803171538e-02
1.084613244787883870e-03,2.711295201209690253e-05,-5.012690636605576788e-02,-1.328326458875346561e-01,7.758469338518848846e-02,-1.004866527055114228e-02
1.066699892297818478e-03,-8.115884015231708548e-05,-5.075948532341378883e-02,-1.327752872696884856e-01,7.757211478919781578e-02,-1.005144845721966072e-02
9.571063478969887720e-04,-2.799105666607265563e-04,-5.150900753662857046e-02,-1.326698688531055548e-01,7.751246951459790646e-02,-1.005852237316914519e-02
8.421611343258744416e-04,-4.919163746112398261e-04,-4.939706810096333722e-02,-1.325590346891565852e-01,7.744770803686096272e-02,-1.007083492636838724e-02
7.351252613780102658e-04,-5.924482534084216101e-04,-4.912406404785807368e-02,-1.325078867028940122e-01,7.738913073289718780e-02,-1.007894979858136274e-02
6.267778950318256921e-04,-6.917803454427155774e-04,-4.849681658763771441e-02,-1.324560460728611555e-01,7.733133661166213813e-02,-1.008011091169941538e-02
-3.956873015946508511e-03,4.868012187520937700e-03,-1.231447390726303492e-01,-1.683331514058082068e-01,4.825198447047164552e-02,-9.196188569916776204e-03
-4.071498659486381087e-03,4.834520869395484560e-03,-1.291910873530094372e-01,-1.683166654794924222e-01,4.818938186416211328e-02,-9.201828371653132319e-03
-4.078280344857449988e-03,4.796351116274123055e-03,-1.337823430822415727e-01,-1.682937522202251068e-01,4.818474848906417751e-02,-9.203120339806424716e-03
-4.044642640824738962e-03,4.728180397852020656e-03,-1.385365508379496902e-01,-1.682568754596512617e-01,4.820319363198544843e-02,-9.202111936613082896e-03
-4.036540046314920568e-03,4.683031195997996304e-03,-1.414377369727197742e-01,-1.682334716528902097e-01,4.821019700250994688e-02,-9.196457982916914423e-03
-4.045927426575809775e-03,4.558981199495160119e-03,-1.427512250283494710e-01,-1.681729289358284973e-01,4.820816029056679969e-02,-9.190383806287059573e-03
-2.800355653681654844e-03,4.354664906458919488e-03,-1.125434997653512736e-01,-1.781915599520810523e-01,6.486879579425183784e-02,-1.652987317318407173e-02
-2.784419308815455196e-03,4.334349768960459037e-03,-1.141512196938287982e-01,-1.781806442574062899e-01,6.487705472895713421e-02,-1.653637634140673815e-02
-2.767526391300263646e-03,4.333424212939526038e-03,-1.138310333634192650e-01,-1.781805733328946095e-01,6.488907809070776356e-02,-1.653757701924200851e-02
-2.749220501337986018e-03,4.313228290909344037e-03,-1.129535790134731377e-01,-1.781700648930171771e-01,6.490824002419197380e-02,-1.654342406819254985e-02
-2.709230295449055817e-03,4.316570556584520268e-03,-1.117811994873521009e-01,-1.781746270558523249e-01,6.493902391014685915e-02,-1.654438733863439204e-02
-2.653127968813435641e-03,4.250436453498759176e-03,-1.082365390102011382e-01,-1.781450494669785389e-01,6.497700228269162603e-02,-1.653385378402108530e-02
1.289314617734440595e-03,1.426401786854783471e-03,-2.632767378817735260e-02,-6.693529584911159236e-02,5.935213784869269177e-02,-1.048867468038180290e-02
1.295762262834815109e-03,1.374772165319847889e-03,-2.275730337483872212e-02,-6.691783203726858753e-02,5.936670047846553944e-02,-1.048154556641141960e-02
1.260980066449963457e-03,1.415341845042685648e-03,-1.828144807055065435e-02,-6.694385171897021536e-02,5.936177229928007310e-02,-1.047028437120568235e-02
1.312378775121130371e-03,1.405446372176988312e-03,-1.510025230781952832e-02,-6.695022024355040680e-02,5.940020970885245138e-02,-1.045124165868202386e-02
1.314448300374061306e-03,1.442465923328081073e-03,-1.128593925553722510e-02,-6.697657055699350603e-02,5.941512869983315431e-02,-1.043656540464433548e-02
1.318269717256938690e-03,1.412067935343402914e-03,-5.419737498811527665e-03,-6.696906415302136817e-02,5.943215856324936958e-02,-1.042625353904082230e-02
3.215992530469823866e-03,-1.635389793226561805e-03,2.807671859229232680e-02,-1.792005599322769524e-02,4.410525122241457097e-02,-1.996900189888146243e-02
3.244388361839141074e-03,-1.631988083314505483e-03,3.192882232030014311e-02,-1.792668844232305631e-02,4.413010686135466348e-02,-1.997000079771784828e-02
3.205251038656859938e-03,-1.655781834133677327e-03,3.641987417781689107e-02,-1.792862298990418810e-02,4.412194900843215833e-02,-1.996631249138054384e-02
3.243128534763033838e-03,-1.753905118514802186e-03,3.972662707950747052e-02,-1.789978022646778952e-02,4.414593580384606336e-02,-1.995197186189722957e-02
3.216927364956036813e-03,-1.778289454160798116e-03,4.215288532674377198e-02,-1.789290393930250897e-02,4.414144688376484688e-02,-1.996035639406630244e-02
3.183936318972765359e-03,-1.775556228576877227e-03,4.473826999212338063e-02,-1.789652141470295804e-02,4.412950547047587990e-02,-1.996257576438349030e-02
2.795931933953024490e-03,-3.866864717199609836e-03,4.591543956683874494e-02,-1.109941813148222073e-03,7.789419392608430692e-02,-2.929635960882871412e-02
2.833114399719783173e-03,-3.922873754008529557e-03,5.134617460794155264e-02,-1.080681161071930319e-03,7.791247401243606152e-02,-2.929970033427455045e-02
2.699636452087353280e-03,-4.018625103624703931e-03,5.695641298529274810e-02,-1.035197239038557031e-03,7.784302387859391714e-02,-2.928660363913514544e-02
2.625349016512288844e-03,-4.076209021665427173e-03,6.110830429046554269e-02,-9.996681242040151259e-04,7.780453362205026757e-02,-2.928803943573663263e-02
2.538821728558860943e-03,-4.261201228322006318e-03,6.560591917904246007e-02,-9.035869713033316611e-04,7.775463868219338603e-02,-2.927358412241879912e-02
2.517890279595452318e-03,-4.360824374409204285e-03,6.735428610711535757e-02,-8.508370884599680958e-04,7.774927073215943951e-02,-2.925935611658647337e-02
2.727054577581968821e-03,-3.296029716696940309e-03,4.452690185768248821e-02,6.843483744630608941e-03,7.386067771712515051e-02,-2.331628535729777033e-02
2.659473649889151914e-03,-3.473435502404677300e-03,4.661847447033762304e-02,6.925995241605524544e-03,7.381922332241015738e-02,-2.330957077451988393e-02
2.569252583795330388e-03,-3.694070584573921207e-03,4.781734505757606613e-02,7.034749088535870339e-03,7.376510739767817848e-02,-2.329855242284829125e-02
2.495174211280958617e-03,-3.932202698902168003e-03,4.974178575990784168e-02,7.156280132293049885e-03,7.372516238270478139e-02,-2.329532730554879916e-02
2.434615538953002669e-03,-4.039107683247965264e-03,4.966051337349075556e-02,7.211048057224641976e-03,7.369533660499617833e-02,-2.328408530448234856e-02
2.395508779256355809e-03,-4.129234154205244783e-03,4.608806437468304651e-02,7.254370254200497893e-03,7.367584017365357008e-02,-2.327574250934644901e-02
1.727778468718982590e-03,-2.392390519471050692e-03,7.407639370443974691e-03,-7.608931755251364948e-02,7.990507217018998076e-02,-1.730938093936757946e-02
1.642227630769581975e-03,-2.585209950071325202e-03,6.896810658614249689e-03,-7.599393859358856418e-02,7.985803343140958355e-02,-1.731586013416909833e-02
1.577484969395647613e-03,-2.836602806650368597e-03,6.842174714297044602e-03,-7.586773719827637208e-02,7.981028559009971379e-02,-1.731455256331771581e-02
1.482913029458010016e-03,-2.899421471622535412e-03,4.963201527601435181e-03,-7.582826728096381252e-02,7.975835015243919190e-02,-1.732720030722454535e-02
1.423770667979491148e-03,-2.985501872535968604e-03,3.175864488784929662e-03,-7.578079790983217878e-02,7.972260319928806127e-02,-1.732774709278180753e-02
1.322521347398281913e-03,-3.287428888834133256e-03,2.897451986436205829e-03,-7.562461142761341126e-02,7.966554124195758535e-02,-1.732735911363951151e-02
