x,y,z,qw,qx,qy,qz
-8.141981855996489577e-04,2.084259294838946425e-02,7.106545705247971911e-01,1.994441702620924350e-01,1.768583177755381763e-01,6.339485825398440966e-01,-7.259837140582392490e-01
-8.141981855996515598e-04,2.084259294838947466e-02,7.106545705247971911e-01,1.994441702620924350e-01,1.768583177755379543e-01,6.339485825398436525e-01,-7.259837140582388049e-01
-8.141981855996460304e-04,2.084259294838947466e-02,7.106545705247971911e-01,1.994441702620925461e-01,1.768583177755382874e-01,6.339485825398438745e-01,-7.259837140582391379e-01
-8.141981855996432114e-04,2.084259294838947119e-02,7.106545705247971911e-01,1.994441702620925738e-01,1.768583177755381763e-01,6.339485825398436525e-01,-7.259837140582392490e-01
-3.941899626125259723e-03,2.512471871376920768e-02,6.982203617048813316e-01,2.117759632665819070e-01,1.812739050986235667e-01,6.180852721665813787e-01,-7.350246996146249101e-01
-3.941899626125256254e-03,2.512471871376918686e-02,6.982203617048813316e-01,2.117759632665819902e-01,1.812739050986232892e-01,6.180852721665813787e-01,-7.350246996146245770e-01
-3.941899626125259723e-03,2.512471871376917645e-02,6.982203617048813316e-01,2.117759632665821568e-01,1.812739050986230671e-01,6.180852721665816008e-01,-7.350246996146245770e-01
-3.941899626125260590e-03,2.512471871376917645e-02,6.982203617048813316e-01,2.117759632665822678e-01,1.812739050986228451e-01,6.180852721665816008e-01,-7.350246996146245770e-01
-3.941899626125266662e-03,2.512471871376916951e-02,6.982203617048813316e-01,2.117759632665822678e-01,1.812739050986227340e-01,6.180852721665816008e-01,-7.350246996146246881e-01
-3.941899626125267529e-03,2.512471871376916951e-02,6.982203617048813316e-01,2.117759632665823233e-01,1.812739050986228451e-01,6.180852721665818228e-01,-7.350246996146249101e-01
-2.929074926840132247e-03,2.418253197843206123e-02,7.060684819185288896e-01,1.976668344554186052e-01,1.745086451352878820e-01,6.219630903222809204e-01,-7.373170753523741183e-01
-2.929074926840137018e-03,2.418253197843204388e-02,7.060684819185291117e-01,1.976668344554184664e-01,1.745086451352880763e-01,6.219630903222810314e-01,-7.373170753523741183e-01
-2.929074926840135283e-03,2.418253197843204041e-02,7.060684819185292227e-01,1.976668344554184664e-01,1.745086451352879653e-01,6.219630903222809204e-01,-7.373170753523741183e-01
-2.929074926840137018e-03,2.418253197843204041e-02,7.060684819185293337e-01,1.976668344554184664e-01,1.745086451352878543e-01,6.219630903222809204e-01,-7.373170753523742293e-01
-2.929074926840137018e-03,2.418253197843203348e-02,7.060684819185293337e-01,1.976668344554184664e-01,1.745086451352877432e-01,6.219630903222808094e-01,-7.373170753523741183e-01
-2.929074926840137018e-03,2.418253197843203348e-02,7.060684819185293337e-01,1.976668344554184664e-01,1.745086451352874102e-01,6.219630903222806984e-01,-7.373170753523744514e-01
1.476266294598695648e-03,2.027452256303234612e-02,7.076395641266833847e-01,1.902602903847452065e-01,1.899226670009307172e-01,6.533433371469092865e-01,-7.077237358374425247e-01
1.476266294598696082e-03,2.027452256303233225e-02,7.076395641266834957e-01,1.902602903847452342e-01,1.899226670009303009e-01,6.533433371469090645e-01,-7.077237358374425247e-01
1.476266294598695432e-03,2.027452256303231837e-02,7.076395641266834957e-01,1.902602903847454008e-01,1.899226670009296347e-01,6.533433371469090645e-01,-7.077237358374421916e-01
1.476266294598690878e-03,2.027452256303230796e-02,7.076395641266834957e-01,1.902602903847454285e-01,1.899226670009298568e-01,6.533433371469093975e-01,-7.077237358374427467e-01
1.476266294598686541e-03,2.027452256303230796e-02,7.076395641266834957e-01,1.902602903847454840e-01,1.899226670009294127e-01,6.533433371469091755e-01,-7.077237358374424137e-01
1.476266294598682855e-03,2.027452256303230449e-02,7.076395641266834957e-01,1.902602903847455396e-01,1.899226670009295237e-01,6.533433371469093975e-01,-7.077237358374427467e-01
2.791012947251962032e-03,1.688991040563669194e-02,6.702625430561210962e-01,1.842400094086445728e-01,1.957111018129189250e-01,6.714560482596872992e-01,-6.905791473942434200e-01
2.791012947251958563e-03,1.688991040563670235e-02,6.702625430561209852e-01,1.842400094086445728e-01,1.957111018129192859e-01,6.714560482596874103e-01,-6.905791473942436420e-01
2.791012947251955961e-03,1.688991040563670928e-02,6.702625430561209852e-01,1.842400094086444617e-01,1.957111018129195079e-01,6.714560482596874103e-01,-6.905791473942435310e-01
2.791012947251952057e-03,1.688991040563671969e-02,6.702625430561209852e-01,1.842400094086444617e-01,1.957111018129196189e-01,6.714560482596874103e-01,-6.905791473942435310e-01
2.791012947251952057e-03,1.688991040563672663e-02,6.702625430561209852e-01,1.842400094086444895e-01,1.957111018129193969e-01,6.714560482596870772e-01,-6.905791473942433090e-01
2.791012947251952057e-03,1.688991040563672663e-02,6.702625430561209852e-01,1.842400094086445450e-01,1.957111018129193969e-01,6.714560482596871882e-01,-6.905791473942433090e-01
2.675562390515939717e-03,1.588733770491325414e-02,6.355111052115027803e-01,1.747510624057604378e-01,1.944231720366484950e-01,6.784319463392103344e-01,-6.865797772652912911e-01
2.675562390515942319e-03,1.588733770491326108e-02,6.355111052115027803e-01,1.747510624057603545e-01,1.944231720366487171e-01,6.784319463392101124e-01,-6.865797772652911801e-01
2.675562390515946222e-03,1.588733770491327149e-02,6.355111052115027803e-01,1.747510624057603268e-01,1.944231720366488281e-01,6.784319463392102234e-01,-6.865797772652912911e-01
2.675562390515944487e-03,1.588733770491327496e-02,6.355111052115027803e-01,1.747510624057602713e-01,1.944231720366493832e-01,6.784319463392102234e-01,-6.865797772652912911e-01
2.675562390515944487e-03,1.588733770491328884e-02,6.355111052115027803e-01,1.747510624057602435e-01,1.944231720366491611e-01,6.784319463392101124e-01,-6.865797772652910691e-01
2.675562390515944487e-03,1.588733770491329578e-02,6.355111052115027803e-01,1.747510624057601880e-01,1.944231720366492722e-01,6.784319463392102234e-01,-6.865797772652911801e-01
3.043014745075121093e-03,1.585270539028735964e-02,6.591650805159801063e-01,1.738215675873685251e-01,1.920848954971061673e-01,6.766480122094890026e-01,-6.892292239424290257e-01
3.043014745075120660e-03,1.585270539028737352e-02,6.591650805159803284e-01,1.738215675873686916e-01,1.920848954971056122e-01,6.766480122094887806e-01,-6.892292239424286926e-01
