x_error,y_error,z_error,rx_error,ry_error,rz_error
-3.565068005560529589e-04,-1.657884162893745461e-03,-9.408462573302633913e-03,6.479905800752075755e-04,-3.662844523074635858e-03,1.088392598380210057e-03
-3.338136748983048011e-04,-1.655051053307633746e-03,-5.327234317851425871e-03,6.432096329930551623e-04,-3.636622997673312832e-03,1.094160310510219154e-03
-3.004003308920081671e-04,-1.716319928825090629e-03,1.109574035505378475e-03,6.696060527818395534e-04,-3.606577541265483522e-03,1.102062652711332472e-03
-2.666984645593295901e-04,-1.707925824848674501e-03,4.865985827856911250e-03,6.619749260665175935e-04,-3.573184838062119784e-03,1.106750205128892483e-03
-2.498722078896354064e-04,-1.700747768555933154e-03,8.899761967125829898e-03,6.552581543154358977e-04,-3.554822269681630776e-03,1.110905521942524062e-03
-2.004947799455748488e-04,-1.680605750256684849e-03,1.355524097814375661e-02,6.389247358865494204e-04,-3.524059139716865640e-03,1.122004203903715323e-03
-2.292911760900092841e-04,-1.752561633299669352e-03,1.722450497278815718e-02,6.611274446326080361e-04,-3.525803605630292541e-03,1.134704502826535018e-03
-2.301893226453258765e-04,-1.834989482482778100e-03,2.058960263454268080e-02,6.907730380550279820e-04,-3.514863954504395243e-03,1.141970886957504368e-03
-2.772545223319735708e-04,-1.816200188349326172e-03,2.292975480800740762e-02,6.791487834837374926e-04,-3.530470937648863897e-03,1.137486625802019416e-03
-3.385340681886857446e-04,-1.811472501011466424e-03,2.460010772284748626e-02,6.741831840415210293e-04,-3.555477611754506457e-03,1.134960927864906615e-03
-4.131512635096928551e-04,-1.805165131317423149e-03,2.906290784176535080e-02,6.687257438546143030e-04,-3.588730654792514959e-03,1.133997608483326746e-03
-3.904024087665226178e-04,-1.849047992922438211e-03,3.508292763621179144e-02,6.902878584178421661e-04,-3.581189689913284301e-03,1.138497341700073434e-03
-5.175780429313505153e-04,-1.956867746963873722e-03,4.055513025345236500e-02,7.401692279424380849e-04,-3.653169069503762936e-03,1.150479816089852204e-03
-5.451547231648368836e-04,-2.038999574370901208e-03,4.448506519712480678e-02,7.897377683548998783e-04,-3.673894510719687926e-03,1.140348013442161242e-03
-7.068118725710235799e-04,-2.180589667107962759e-03,4.810517112578294174e-02,8.674063416166792086e-04,-3.762676955116589072e-03,1.146086666770837481e-03
-7.449325927237371867e-04,-2.354886667979737974e-03,5.112590415885520656e-02,9.580516545398065978e-04,-3.786359089087859911e-03,1.148775658038027380e-03
-7.122863078549768797e-04,-2.413827317730134203e-03,5.177756274863609676e-02,9.940650197566387389e-04,-3.762588564656503716e-03,1.145448229459802370e-03
-7.191972354880131826e-04,-2.540772159057715085e-03,5.175737794326551455e-02,1.055447731976329965e-03,-3.764352017296985348e-03,1.146825684966783568e-03
-8.439581574906181074e-04,-2.724847935688855249e-03,5.298092454348957148e-02,1.138173661709020396e-03,-3.833359265499985437e-03,1.163416501697927576e-03
-9.694499685584704544e-04,-2.912155612664800441e-03,5.348777153377537452e-02,1.224354497886125104e-03,-3.902882169836998077e-03,1.177876742918971577e-03
-1.027088945639513095e-03,-3.149868217658786940e-03,5.297431295015042618e-02,1.331571420457544359e-03,-3.944103306410628659e-03,1.203616642249732364e-03
-1.158931304519496839e-03,-3.270357627490411839e-03,5.187674361210403706e-02,1.384249156806731385e-03,-4.018942458610347788e-03,1.217743010689577342e-03
-1.164516247616661972e-03,-3.396601975021586867e-03,5.014143686467376071e-02,1.442565533796951339e-03,-4.023603199589966678e-03,1.226672058321591095e-03
-1.128662938766844320e-03,-3.519818953346617874e-03,4.589265111719531554e-02,1.501717091175658022e-03,-4.001414485668982474e-03,1.225856561892495417e-03
-1.267062993646882879e-03,-3.683481967089979880e-03,4.505412202157288437e-02,1.585319341117689181e-03,-4.077871877571119345e-03,1.215470869588860300e-03
-1.372404508294724264e-03,-3.850699114501348469e-03,4.491819176975120342e-02,1.673804258990393675e-03,-4.136258300828599306e-03,1.206538843049146824e-03
-1.363823785137162434e-03,-3.892762461224136272e-03,4.180685280018681116e-02,1.697562407531663263e-03,-4.133257132911531163e-03,1.205766162175121465e-03
-1.542301854583875281e-03,-4.225881794339917535e-03,4.425827838146101367e-02,1.864233150429499015e-03,-4.227002304950892332e-03,1.200394455925633212e-03
-1.561470372582273326e-03,-4.339536841654976357e-03,4.362542192113216810e-02,1.921366752306259262e-03,-4.240152068538691719e-03,1.196141160855740578e-03
-1.676818452451768384e-03,-4.548164988294325223e-03,4.287529387557709182e-02,2.026153951385329180e-03,-4.300868176833925333e-03,1.188833482390691662e-03
-1.798057524885865498e-03,-4.770523522208226785e-03,4.498658950058320727e-02,2.136116469472597486e-03,-4.367076234918985424e-03,1.176433203780813570e-03
-1.910715331386162764e-03,-4.875813645135815971e-03,4.525922058879039422e-02,2.186654431209078542e-03,-4.426397758588486615e-03,1.170220123219954016e-03
-2.024538734543611905e-03,-4.980013088075335367e-03,4.588609364624363085e-02,2.238172865656328381e-03,-4.484477277037691133e-03,1.170851544145634681e-03
-2.036090945448290352e-03,-5.033456716179808554e-03,4.337647259402854782e-02,2.263463443862314371e-03,-4.493742177996989766e-03,1.169186455732805019e-03
-2.161194383959595851e-03,-5.069637045534248349e-03,3.733008528198311637e-02,2.279564626094669581e-03,-4.556629918996878137e-03,1.168478066459240159e-03
