x_error,y_error,z_error,rx_error,ry_error,rz_error
3.053713828438967600e-03,-1.153339166378008346e-03,3.064030104945392186e-02,-2.126386472408944850e-02,4.835441420735248769e-02,-2.338857490429751412e-02
3.053713828438968901e-03,-1.153339166377994468e-03,4.403431350062581018e-02,-2.126386472408933748e-02,4.835441420735254320e-02,-2.338857490429701452e-02
3.053713828438970202e-03,-1.153339166377980590e-03,5.763832503627053239e-02,-2.126386472408967401e-02,4.835441420735250156e-02,-2.338857490429662941e-02
3.053713828438973672e-03,-1.153339166377980590e-03,6.821030074427836265e-02,-2.126386472408989606e-02,4.835441420735322321e-02,-2.338857490429524164e-02
3.053713828438978008e-03,-1.153339166377980590e-03,7.717129165003999702e-02,-2.126386472408967054e-02,4.835441420735304280e-02,-2.338857490429523817e-02
3.053713828438971937e-03,-1.153339166377980590e-03,8.514530593226654620e-02,-2.126386472408978157e-02,4.835441420735315382e-02,-2.338857490429484959e-02
3.227278217687039492e-03,-4.001941451564704211e-03,5.374535705904570637e-02,-4.179344773370381391e-03,7.972070701078171062e-02,-3.704133695289239803e-02
3.227278217687036890e-03,-4.001941451564697272e-03,5.686135437349892907e-02,-4.179344773370158479e-03,7.972070701078153021e-02,-3.704133695289294620e-02
3.227278217687036023e-03,-4.001941451564693802e-03,5.795037414888970506e-02,-4.179344773369601633e-03,7.972070701078105837e-02,-3.704133695289343886e-02
3.227278217687031252e-03,-4.001941451564693802e-03,5.675236847262032924e-02,-4.179344773369713523e-03,7.972070701078147470e-02,-3.704133695289239109e-02
3.227278217687026916e-03,-4.001941451564693802e-03,5.353436615328432957e-02,-4.179344773369713523e-03,7.972070701078169674e-02,-3.704133695289216904e-02
3.227278217687030819e-03,-4.001941451564693802e-03,4.756734039644838763e-02,-4.179344773369491478e-03,7.972070701078164123e-02,-3.704133695289233558e-02
2.783447210421459428e-03,-3.802485632686671696e-03,4.523511468631391530e-02,2.083579744628921357e-03,8.953376539080448726e-02,-2.770082090018799112e-02
2.783447210421461596e-03,-3.802485632686664757e-03,3.618913232547393832e-02,2.083579744628588290e-03,8.953376539080465379e-02,-2.770082090018804663e-02
2.783447210421464632e-03,-3.802485632686654349e-03,2.410413324100124655e-02,2.083579744628476400e-03,8.953376539080441787e-02,-2.770082090018892787e-02
2.783447210421464632e-03,-3.802485632686650879e-03,1.186013757449733141e-02,2.083579744628032745e-03,8.953376539080487584e-02,-2.770082090018793561e-02
2.783447210421465499e-03,-3.802485632686637002e-03,-1.589836485561324508e-03,2.083579744627921723e-03,8.953376539080493135e-02,-2.770082090018799112e-02
2.783447210421460295e-03,-3.802485632686630063e-03,-1.788889349239719539e-02,2.083579744627810700e-03,8.953376539080509788e-02,-2.770082090018760254e-02
2.004399639010088358e-03,-1.830070693496388401e-03,-7.958614142349329512e-04,-5.776831562191011432e-02,6.710954021364093358e-02,-2.440023714401499261e-02
2.004399639010093128e-03,-1.830070693496412687e-03,-1.653286092595385171e-02,-5.776831562191023228e-02,6.710954021364098909e-02,-2.440023714401510710e-02
2.004399639010095730e-03,-1.830070693496423095e-03,-3.448185079411802967e-02,-5.776831562191045433e-02,6.710954021364121114e-02,-2.440023714401488505e-02
2.004399639010095296e-03,-1.830070693496426565e-03,-5.036487691716495796e-02,-5.776831562191034330e-02,6.710954021364098909e-02,-2.440023714401510710e-02
2.004399639010095296e-03,-1.830070693496426565e-03,-6.591190450505557408e-02,-5.776831562191023228e-02,6.710954021364087807e-02,-2.440023714401532914e-02
2.004399639010093562e-03,-1.830070693496426565e-03,-8.268489950017277046e-02,-5.776831562191023228e-02,6.710954021364076705e-02,-2.440023714401527363e-02
1.139721710093412679e-03,1.618329381103643383e-04,-6.268487880614992402e-02,-1.329014862270009867e-01,7.761435541175654151e-02,-1.004933493064456840e-02
1.139721710093411595e-03,1.618329381103747466e-04,-7.559381435302481300e-02,-1.329014862270008479e-01,7.761435541175669417e-02,-1.004933493064412257e-02
1.139721710093411595e-03,1.618329381103851550e-04,-8.854982326415750116e-02,-1.329014862270011255e-01,7.761435541175661090e-02,-1.004933493064384849e-02
1.139721710093408126e-03,1.618329381103851550e-04,-9.846582363036837648e-02,-1.329014862270008479e-01,7.761435541175658315e-02,-1.004933493064401155e-02
1.139721710093405307e-03,1.618329381103851550e-04,-1.067058748998995776e-01,-1.329014862270012087e-01,7.761435541175670805e-02,-1.004933493064362297e-02
1.139721710093402488e-03,1.618329381103816855e-04,-1.138068575659152426e-01,-1.329014862270009867e-01,7.761435541175670805e-02,-1.004933493064317888e-02
