x,y,z,qw,qx,qy,qz
-2.004947799455748488e-04,1.831939424974331557e-02,6.337762263907413818e-01,2.140953380828215513e-01,2.134745029785112269e-01,6.743493973415355391e-01,-6.736799782496044608e-01
-2.292911760900092841e-04,1.824743836670033106e-02,6.268735146773779521e-01,2.140978468127347212e-01,2.134731669811092969e-01,6.743580426867754607e-01,-6.736709502664244287e-01
-2.301893226453258765e-04,1.816501051751722232e-02,6.212776214333708413e-01,2.140934574685072200e-01,2.134701798194761357e-01,6.743699760267133358e-01,-6.736613461011036197e-01
-2.772545223319735708e-04,1.818379981165067424e-02,6.156437593246090190e-01,2.140984414028140326e-01,2.134757166170081488e-01,6.743639136528318812e-01,-6.736640763515421293e-01
-3.385340681886857446e-04,1.818852749898853399e-02,6.122261071735310978e-01,2.141065453237354643e-01,2.134844681769103580e-01,6.743592987423578933e-01,-6.736633471523237882e-01
-4.131512635096928551e-04,1.819483486868257727e-02,6.135729099779958506e-01,2.141180073007881712e-01,2.134954195781931796e-01,6.743538021506296776e-01,-6.736617358093454078e-01
-3.904024087665226178e-04,1.815095200707756221e-02,6.185039099970516263e-01,2.141146901808368419e-01,2.134936519205520300e-01,6.743623539215605200e-01,-6.736547896747723252e-01
-5.175780429313505153e-04,1.804313225303612669e-02,6.251741182905616867e-01,2.141376828865866888e-01,2.135191684036071846e-01,6.743727438713801314e-01,-6.736289927070993055e-01
-5.451547231648368836e-04,1.796100042562909921e-02,6.323220555535701282e-01,2.141359805035285280e-01,2.135348369288456727e-01,6.743861608224192006e-01,-6.736111351237908940e-01
-7.068118725710235799e-04,1.781941033289203766e-02,6.419091872390642051e-01,2.141595751328098651e-01,2.135710735821527706e-01,6.744034552402985438e-01,-6.735748306371369676e-01
-7.449325927237371867e-04,1.764511333202026244e-02,6.522249184410817691e-01,2.141588225553880676e-01,2.135877784927188161e-01,6.744317593091203600e-01,-6.735414327533527645e-01
-7.122863078549768797e-04,1.758617268226986621e-02,6.619225593917025252e-01,2.141458602076776463e-01,2.135847164549784516e-01,6.744460857491130223e-01,-6.735321795359597852e-01
-7.191972354880131826e-04,1.745922784094228533e-02,6.739873736708045238e-01,2.141403906314718053e-01,2.135913677112832865e-01,6.744667306715850241e-01,-6.735111357331874382e-01
-8.439581574906181074e-04,1.727515206431114517e-02,6.874549159375324958e-01,2.141604404127683270e-01,2.136178161006151432e-01,6.744889909283252605e-01,-6.734740793253315427e-01
-9.694499685584704544e-04,1.708784438733519997e-02,7.014117369878769548e-01,2.141795775675336966e-01,2.136455232046562402e-01,6.745121322393602403e-01,-6.734360269762176276e-01
-1.027088945639513095e-03,1.685013178234121348e-02,7.171973354110878773e-01,2.141907419524487211e-01,2.136621228530301009e-01,6.745465840764985899e-01,-6.733927006068027854e-01
-1.158931304519496839e-03,1.672964237250958858e-02,7.313647349451118940e-01,2.142151205189176399e-01,2.136881738755073146e-01,6.745578278851236398e-01,-6.733654158966883019e-01
-1.164516247616661972e-03,1.660339802497841355e-02,7.453664277094003143e-01,2.142134980167913205e-01,2.136929275951308105e-01,6.745779266898018767e-01,-6.733442884484287516e-01
-1.128662938766844320e-03,1.648018104665338254e-02,7.590666318300859361e-01,2.141994535536980437e-01,2.136920085277441705e-01,6.746001447338709767e-01,-6.733267886499957333e-01
-1.267062993646882879e-03,1.631651803291002054e-02,7.741111288575104332e-01,2.142128231537956951e-01,2.137301557240218752e-01,6.746190320093237158e-01,-6.732915034229004503e-01
-1.372404508294724264e-03,1.614930088549865195e-02,7.895222261935793684e-01,2.142200732363534477e-01,2.137622411011699253e-01,6.746416499089289420e-01,-6.732563469512743426e-01
