x,y,z,qw,qx,qy,qz
3.145028388562246847e-03,1.885913998839389150e-02,6.493650703530671198e-01,1.905645911370227319e-01,2.017991729493939790e-01,6.695964337399495925e-01,-6.889142517936909238e-01
3.116198053143246025e-03,1.878688094322443838e-02,6.424623764200535492e-01,1.905673222633544606e-01,2.017976194797446166e-01,6.696051941038697608e-01,-6.889054365345085307e-01
3.115466717810199196e-03,1.870401574702460976e-02,6.368664625111927213e-01,1.905631876818341952e-01,2.017942177171386797e-01,6.696171814938725042e-01,-6.888959249731911871e-01
3.068160575158509259e-03,1.872297089842701531e-02,6.312326463785461472e-01,1.905680323984547397e-01,2.017999992821110089e-01,6.696112407107122078e-01,-6.888986657204254627e-01
3.221280327972937847e-03,1.598295707561573492e-02,6.350149051661156951e-01,1.734758807244753398e-01,1.975576451522423060e-01,6.768658560879977637e-01,-6.875534222960645314e-01
3.145903102141880264e-03,1.598938484056643822e-02,6.363618383463807149e-01,1.734873342550112552e-01,1.975689392031069191e-01,6.768610051772440128e-01,-6.875520626001345725e-01
3.168834066197244882e-03,1.594502704555811334e-02,6.412927639618138942e-01,1.734842108140716710e-01,1.975666756167909766e-01,6.768695170389774640e-01,-6.875451215646649628e-01
3.040045231849936285e-03,1.583611298749432530e-02,6.479631182832187308e-01,1.735077748138186549e-01,1.975916630071075097e-01,6.768816194054051438e-01,-6.875200797797541563e-01
3.011974796484361266e-03,1.575281510161638532e-02,6.551110196991627443e-01,1.735064236022993145e-01,1.976064802709628365e-01,6.768958812545128323e-01,-6.875021206253386641e-01
2.848308254145914733e-03,1.560947490872918904e-02,6.646982954511195807e-01,1.735307891492884058e-01,1.976417473307636730e-01,6.769154715730332228e-01,-6.874665441127487675e-01
2.730402146241046879e-03,1.612575803202849142e-02,6.506072935093906162e-01,1.726325419550686913e-01,1.917549984848032352e-01,6.809327066057072608e-01,-6.853894331610681512e-01
2.763005008663630812e-03,1.606686433890831822e-02,6.603047970663941113e-01,1.726198760934178345e-01,1.917510584652604155e-01,6.809467877853733198e-01,-6.853797357375890353e-01
2.756099145087548882e-03,1.594002398277727384e-02,6.723695240977242138e-01,1.726150910809958472e-01,1.917564406717866543e-01,6.809678159230654337e-01,-6.853585422747401346e-01
2.631475190010645112e-03,1.575614013013687531e-02,6.858371803608314110e-01,1.726363673417988798e-01,1.917815255468476865e-01,6.809918158012728817e-01,-6.853223168273717691e-01
2.506117937044319288e-03,1.556902258355510882e-02,6.997941119591408743e-01,1.726567579532624630e-01,1.918078073239546377e-01,6.810167510391581525e-01,-6.852850456464917306e-01
2.448584937546436063e-03,1.533157347313535319e-02,7.155796906812358360e-01,1.726693803065552646e-01,1.918223412022165286e-01,6.810524096851832132e-01,-6.852423584267508527e-01
1.945138509998058009e-03,1.804465330993387795e-02,6.892869878501970415e-01,1.876744567741388814e-01,1.918514738701051492e-01,6.587640381386692390e-01,-7.028522265054257812e-01
1.939736557235822653e-03,1.792089021176119373e-02,7.032887716574968140e-01,1.876735675858854091e-01,1.918555936195606160e-01,6.587849592336689764e-01,-7.028317300136394108e-01
1.974655565229645280e-03,1.780015956807394148e-02,7.169889847002668404e-01,1.876603343298191007e-01,1.918535567251846707e-01,6.588077617185988943e-01,-7.028144454907331307e-01
1.839483738175579086e-03,1.763998529044360011e-02,7.320338292584319673e-01,1.876738628217825833e-01,1.918916389620565210e-01,6.588290086073199658e-01,-7.027805187450079094e-01
1.736608051657044039e-03,1.747646626928922933e-02,7.474452249634423451e-01,1.876814895151434348e-01,1.919233400354105612e-01,6.588538020003940066e-01,-7.027465813738653644e-01
1.745062822534529335e-03,1.743540034034194580e-02,7.611069031424534392e-01,1.876779627180963084e-01,1.919247472189344883e-01,6.588623636740306155e-01,-7.027391119389906349e-01
1.084613244787883870e-03,2.002711295201209732e-02,7.252521219542567010e-01,1.965514032888283358e-01,1.751095520030567509e-01,6.348137932114590321e-01,-7.264403888902103423e-01
1.066699892297818478e-03,1.991884115984768333e-02,7.375284785437736801e-01,1.965490556656237231e-01,1.751212463745596137e-01,6.348328996443387551e-01,-7.264215080201942287e-01
9.571063478969887720e-04,1.972008943333927386e-02,7.497349652416916976e-01,1.965565310765672313e-01,1.751558440310042597e-01,6.348643915190367304e-01,-7.263836209428845558e-01
8.421611343258744416e-04,1.950808362538876059e-02,7.617629050435679172e-01,1.965634443801878573e-01,1.751945574389492943e-01,6.348967812575048164e-01,-7.263441033876626429e-01
7.351252613780102658e-04,1.940755174659157881e-02,7.702759603662043819e-01,1.965755936724208064e-01,1.752230171202424636e-01,6.349087855438131367e-01,-7.263234570650288768e-01
