x,y,z,qw,qx,qy,qz
0.000000000000000000e+00,2.000000000000000042e-02,7.775399780273437589e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.917530059814452681e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.029499816894530850e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.126059722900390581e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.214309692382812944e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.273220062255859375e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.312729644775390669e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.333209991455078347e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.329769897460937988e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.306020355224609242e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.255500030517578525e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.190260314941406605e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,8.106980133056640447e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.993430328369141025e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.876660156250000488e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.746959686279296653e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.588240051269531383e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.438310241699218617e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.282610321044922230e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,7.103710174560546875e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,6.944229888916015891e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,6.787039947509765359e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,6.616120147705077947e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,6.472190093994140137e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,6.338249969482422363e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
0.000000000000000000e+00,2.000000000000000042e-02,6.202209854125976252e-01,2.125969995986232153e-01,2.125969995986232153e-01,6.743904772175116635e-01,-6.743904772175116635e-01
